index,train-error,test-error,time
0,0.9477124183006536,0.9705882352941176,0.0
1,0.7859477124183006,0.8235294117647058,2.749474
2,0.7696078431372549,0.8235294117647058,1.9514949999999995
3,0.7663398692810457,0.7941176470588236,1.9633559999999992
4,0.761437908496732,0.7794117647058824,1.9593939999999996
5,0.7630718954248366,0.7892156862745098,1.958748
6,0.7565359477124183,0.7794117647058824,1.9180039999999998
7,0.7581699346405228,0.7794117647058824,1.8995010000000008
8,0.7630718954248366,0.7696078431372549,1.9021480000000004
9,0.7647058823529411,0.7843137254901961,1.9130809999999983
10,0.7549019607843137,0.7843137254901961,1.8932949999999984
